product_name,brand,powertrain,source,product_id
ARCFOX αT,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,113
领克09 PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,114
沃尔沃S90,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,115
日产Ariya,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,116
蔚来EC6,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,117
爱驰U5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,118
东风富康e爱丽舍,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,119
ARCFOX αS,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,120
梦想家 EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,121
枫叶60s,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,122
威马W6,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,123
沃尔沃XC60,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,124
奔腾NAT,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,125
畅巡EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,126
大众途观,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,127
上汽大通MAXUS MIFA 9,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,128
上汽大通MAXUS EUNIQ 5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,129
奥迪Q5 e-tron,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,130
摩卡DHT-PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,131
Mustang Mach-E,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,132
Aion LX,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,133
小虎FEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,134
奔驰C-Class,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,135
菱智M5 EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,136
威马ex5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,137
YOUNG光小新,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,138
红旗E-HS9,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,139
冒险家,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,140
天际ME5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,141
北汽EU系列,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,142
上汽MAXUS EUNIQ6,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,143
华晨新日i03A,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,144
炫界Pro EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,145
奔驰EQB,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,146
A6L e-tron,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,147
卡罗拉PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,148
RAV4 PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,149
远志M1,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,150
揽胜极光,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,151
奔驰EQA,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,152
皓影PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,153
艾瑞泽EX,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,154
玛奇朵PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,155
沃尔沃60系列,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,156
奥迪e-tron,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,157
威兰达 PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,158
ER6,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,159
现代名图,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,160
福特锐际,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,161
理念VE-1,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,162
沃尔沃XC40,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,163
马自达CX-30 EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,164
广汽本田绎乐,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,165
东风本田CR-V,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,166
东风本田CR-V PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,167
奕泽E进擎,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,168
江铃易至EV3,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,169
Q2L e-tron,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,170
阿图柯,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,171
奔驰EQC,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,172
奇瑞eQ5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,173
MG6,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,174
嘉际MPV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,175
HYCAN 007,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,176
领克06 PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,177
比亚迪元EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,178
比亚迪e2,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,179
广汽丰田iA5,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,180
Velite 7,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,181
领克05 PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,182
起亚K3 EV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,183
荣威ei6,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,184
标致508L PHEV,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,185
华晨新日i03,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,186
欧拉R1,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,187
思皓E50A,0.0,0.0,锂电数据库_月销量按车型（乘联会）.csv,188
